Total unique instances: 7745
Total mastodon.social instances: 137991
Total non-mastodon.social instances: 98486

Instance Rankings:
corteximplant.com: 9
aria.company: 9
plustodon.net: 9
machteburch.social: 9
m6n.jp: 9
mk.mozc-plasma.tech: 9
takeoverthe.world: 9
livelaughnude.com: 9
peertube.pl: 9
social.libre.fi: 8
catgram.jp: 8
gnusocial.ch: 8
soc.punktrash.club: 8
quit.im: 8
quitter.cat: 8
selfy.army: 8
notbird.site: 8
admins.town: 8
status.fsf.org: 8
social.heckin.tech: 8
rich.gop: 8
status.pirati.ca: 8
greylog.ru: 8
social.sunshinegardens.org: 8
social.up.edu.ph: 8
mastodol.jp: 8
mastodon.link: 8
edolas.world: 8
glammr.us: 8
onster.farm: 8
pleroma.tilde.zone: 8
mastodon.codingfield.com: 8
nixnet.social: 8
pokemon.men: 8
sunshinegardens.org: 8
souk.getloci.com: 8
now.kibousoft.co.jp: 8
plero.ma: 8
social.mayfirst.org: 8
spooky.pizza: 8
strangeobject.space: 8
masto.dev.host: 8
social.netzkombinat.su: 8
social.slat.org: 8
peertube.co.uk: 8
dancingbanana.party: 8
blahaj.zone: 8
gnusocial.me: 8
comicspace.masto.host: 8
gravitas.cafe: 8
netzkombinat.su: 8
sleeklounge.com: 8
social.lavolte.net: 8
mastodon.wrk.ru: 8
loma.ml: 8
shadowverdon.info: 8
ika.moe: 8
dyketwitter.masto.host: 8
misskey.dev: 8
fediscience.org: 8
nerdica.net: 8
landofkittens.social: 8
toobnix.org: 8
horiedon.com: 8
open2.ch: 8
mstdn.cuezakuisgodofthe.world: 8
social.trom.tf: 8
pixelfed.tokyo: 8
kolektiva.media: 8
squeak.social: 8
suya.place: 8
s2.libera.blue: 8
mastodon.wakin.site: 8
don.chakuriki.net: 8
pone.social: 8
mastodon.la: 8
social.byoblu.com: 8
relay.fedi.buzz: 8
blacktwitter.io: 7
social.heldscal.la: 7
systerserver.town: 7
mentalhealth.social: 7
mastodon.acc.umu.se: 7
indy.im: 7
hostsharing.coop: 7
humanities.one: 7
coales.co: 7
cronk.stenoweb.net: 7
mastodon.librelabucm.org: 7
catcatnya.com: 7
gnutan.xyz: 7
social.xeltica.work: 7
cooler.mom: 7
appdot.net: 7
vidcommons.org: 7
tabletop.vip: 7
mastodon.chotto.moe: 7
fuckonthefirst.date: 7
ussr.win: 7
wordsmith.social: 7
hub.netzgemeinde.eu: 7
ping.the-planet.space: 7
nineties.cafe: 7
m.geraffel.net: 7
urusai.social: 7
loutre.info: 7
this.mouse.rocks: 7
masto.rootdc.xyz: 7
mastodon.sk: 7
bitcoinadon.social: 7
mastouille.fr: 7
misskey.de: 7
lesbianschool.com: 7
tube.aquilenet.fr: 7
fedigram.com: 7
toot.redmine.jp: 7
mastodon.ctseuro.com: 7
unsafe.space: 7
xn--y9azesw6bu.xn--y9a3aq: 7
phire.place: 7
pleroma.envs.net: 7
asstodon.social: 7
toot.chat: 7
peertube.moe: 7
fed.brid.gy: 7
forum.manga.tokyo: 7
bigdickisbackintown.futbol: 7
pikachu.rocks: 7
music.glitch.pizza: 7
ice-lolly.social: 7
taur.zone: 7
mstdn.f72u.net: 7
